id,technical_name
734,repair_rose
655,product_drive_images
787,cost_USD
284,purchase_order_products_xls
1068,product_sequence
853,account_move_fill_account_lines
2872,followup_report_mod_minimal
1385,subscription_breach
1587,bn_employee_supplier_payment_trf
1386,subscription_breach
4019,asignar_xmls_facturas
2646,sale_report_multicurrency
4051,return_nc_nd
2458,product_no_create
4132,account_reverse_active_patch
1604,show_currency_rate
3919,sale_delet_create_contact
4493,report_pdf_options
4623,crm_facebook_leads
872,iatl_hr_deduction
3226,account_move_partner_parent
3845,reporte_cxc_cxp
4164,pos_multi_currency
4498,subscription_breach
4691,"Muk_utils, muk_rest, muk_autovaccum"
4731,bn_employee_supplier_payment_trf
4746,crm_facebook_lead
4771,crm_l
3798,alrotek_product
3248,hr_employee_automatic_holiday
3721,account_move_partner_parent
4509,conectividad
4719,automatic_vacations_by_employee_first_day
5078,account_reverse_active_patch
5147,invoice_pdf_format
3431,sale_royalties
3580,sale_account_sale_manager
4932,electric_vehicles
3324,electric_vehicles
3581,hr_employee_commissions
3327,electric_vehicles
3357,electric_vehicles
3726,electric_vehicles
3915,stock_requiere_seguimiento
3926,stock_requiere_seguimiento
3582,hr_employee_commission
4340,res_currency_yuan
4148,account_move_filter_state
5148,employee_document_expiry
5149,hr_organizational_chart
4036,website_booking_jacamar_modifications
4234,recibo_factura
5313,account_sepa
3952,hr_contract_change_get_work_hours
5227,backup_upload_google_drive
5232,iatl_hr_deduction
4237,website_booking_system
5490,"droggol_theme_common, theme_prime"
4641,deltatech_pricelist
3217,hr_holidays_event_calendar_name
4236,website_booking_system
4235,cierre_caja
4192,sale_booking_confirmation_reports
5331,invoice_report_mod
4167,stocks_extra_locations
5233,cr_electronic_invoice_website
4140,"limit_credit_partner, contacts_limit_credit_partner_complement"
4142,account_valitation_document
4320,stock_limitation
4053,reporte_cxc_cxp
2674,"sale_shop, website_store_locator y website_webkul_addons"
4673,contact_equipment_census
4667,requirements_for_new_client
4302,web_lead_funnel_chart
1923,automotive_reporting
3681,contact_change_data_in_chatter
1924,lost_sale
1917,alternative_products
1916,crm_order_line
5117,product_drive_images
5145,branch_offices
4694,contact_and_product_follow_up
4779,bi_pos_payline_ref
4780,wk_pos_commission
5577,pways_pos_inventory_all
5529,pos_view_terminal_asigned
5139,bn_employee_supplier_payment_trf
4342,pos_multi_currency_spei
