Nombre técnico,Ticket asociado
helpdesk_team_block,
automatic_vacations_by_employee_first_day,
hr_employee_automatic_holiday,
knowsystem,7421
hr_payslip_salary_lien,
hour_type_timesheet,7977
crm_timesheet,
improve_employees,6333
hr_holidays_event_calendar_name,
report_pdf_options,6170
employee_orientation,
helpdesk_order_in_analytic_line,6270
whatsapp_connector_sale,
asignar_xmls_facturas,
developments,
whatsapp_connector,
hr_payroll_information_and_last_salaries,
hr_payroll_report,
commission_liter,9543
limit_credit_partner,9873
reportes_multimoneda,9315
cost_USD,9876
sin acceso,
account_retention,
users_retribution,
payment_greenpay_ola_recurring,
report_extra_fields,4154
recibo_factura,
premigration_FE,
cambiar_descripcion,9583
multi_company_hide_views,8202
partner_name_search,-
account_sale_restrictions,
add_fields_account_move,
customers_mailing,
cierre_caja,
task_images,-
suscriptions_add_fields,
payment_greenpay_ola,4430
project_task_subscribe,-
fl_outgoing_mail_server_company,3351
cost_USD,-
recibo_factura_pago,
zoom_integration,-
web_widget_image_download,-
─ python3 ~/Documents/Trabajo/scripts/script_modulos.py,
to_base,8310
move_liquidation,
oh_employee_documents_expiry,6370
overdue_receivables_report,
recibo_factura,5839
compute_number_days_in_leaves,5237
oh_employee_check_list,-
machote_planillas,5237
sh_so_weight_inherit_mod,6443
sh_so_weight,6110
purchase_discounts,6135
mass_sale_confirm_picking,6438
hr_leave,
report_granel,6185
limit_credit_partner,5181
muk_autovacuum,4691
sale_klp_discounts,6443
muk_rest,4691
to_attendance_device,8310
to_safe_confirm_button,8310
last_salaries,5237
return_nc_nd,8117
automatic_vacations_by_employee_first_day,5237
hr_employee_automatic_holiday,5237
time_sheet_attendace,7160
hr_payslip_salary_lien,7823
recibo_factura_add_fields,9502
report_pdf_options,7357
purchase_report_fields,8534
muk_utils,4691
complete_customer_route_report,6687
klp_client,3166
settlements_employee,6551
sale_commission,
hr_payroll_information_and_last_salaries,5237
product_hours_pos,-
compute_number_days_in_leaves,5197
machote_planillas,3772
hr_improvement_vacations,7781
account_report_percentage,
hr_payslip_salary_lien,7824
material_purchase_requisitions,4489
stock_limitation,4121
hr_contract_change_get_work_hours,3952
automatic_vacations,3772
settlements_employee,1950
hr_payroll_information_and_last_salaries,3772
orden_compra,
busqueda_attributos,
premigration_FE,
account_add_fields,
cierre_caja,
unique_credit_note,
return_nc_nd,
stock_move_location,
invoice_pdf_format,
invoice_report_mod,
stock_fields,5918
contact_and_product_follow_up,4694
aspl_pos_report_ee,6347
print_invoice_pos,6656
contacts_duplicated_partner,5120
can,
product_drive_images,5117
pos_product_exchange,4780
recibo_factura,6160
custom_pos,8200
bi_pos_payline_ref,
aspl_pos_order_reservation_ee,4778
pos_ticket_edit,4777
pos_orders,
aspl_reservation_adaptations,-
wk_pos_sales_commission,4780
pos_view_terminal_asigned,
pways_pos_inventory_all,5577
pos_order_return,4813
stock_limitation,5529
product_copy,
pos_switch_view,5770
pw_pos_salesperson,
product_order_noname,
remove_stock_quant_constraint,6500
branch_offices,5145
binhex_gift_ticket_pos,5770
tours_transport_management,5029
product_variant_sale_price,8777
recibo_factura,-
compute_number_days_in_leaves,-
machote_planillas,-
deltatech_pricelist,-
muk_autovacuum,-
auditlog,-
muk_rest,-
crm_lead_company_currency_dollar,-
cierre_caja,-
last_salaries,-
report_invoice_voucher,-
automatic_vacations_by_employee_first_day,
web_search_with_and,-
hr_employee_automatic_holiday,-
website_booking_system,-
functions_api_rest,5667
report_pdf_options,-
muk_utils,-
recibo_factura_pago,-
combo_products,
bn_employee_supplier_payment_trf,-
hr_payroll_information_and_last_salaries,-
crm_lead_currency_symbol,5604
compute_number_days_in_leaves,3067
machote_planillas,
maintenance_start_stop,8195
web_timer_widget,
maintenance_automatic,
hr_payroll_bonus_report,7319
report_km,
purchase_discount,3079
account_reverse_active_patch,5078
material_purchase_requisitions,-
reparaciones,-
base_maintenance,-
ms_timesheet_start_stop,-
maintenance_start_stop_models,8195
stock_analytic_account_inherit,3123
maintenance_timesheet,-
asignar_xmls_facturas,
expiration_document,
maintenance_project,-
hr_payroll_information_and_last_salaries,3131
submodulo FE,
hr_employee_automatic_vacations,5134
stock_limit_promissory_note,5186
stock_picking_validate_transfer,7353
website_store_locator,2674
portal_dealer_fees,
mandatory_cost_field,8822
compute_number_days_in_leaves,5134
hr_employee_automatic_holiday,5134
employee_documents_expiry,5148
stock_lot_limit,4319
purchase_discount,7683
payment_greenpay_ola,
product_sale_margin,4322
purchase_price_list,4448
website_webkul_addons,2674
stock_limitation,4320
droggol_theme_common,5490
theme_prime,5490
account_validation_document,4142
stock_move_location,9541
hr_payroll_information_and_last_salaries,5487
reporte_cxc_cxp,
sale_shop,2674
employee_check_list,7748
fix_res_partner,8106
hr_organizational_chart,5149
hr_payroll_report,5134
contact_client_files,4147
account_move_filter_state,4148
ts_import_serial_no_and_transfers,8820
limit_credit_partner,4140
hr_employee_last_salaries,5134
fl_outgoing_mail_server_company,7341
agent_commissions,6281
contacts_limit_credit_complement,4140
account_invoice_picking,9486
kardex_inventory_report,9486
customers_routes,9453
login_user_detail,
web_lead_funnel_chart,
dusal_sale,
crm_l,
contactos_conexion,
no_create_contact,
ks_dashboard_ninja,
base_odoo_permissions,
requirements_fields_crm,
sale_order_nocreate,
recurring_bill,
login_user_detail_report,
ss_whatsapp_connector,
mass_editing,
helpdesk_team_site_all,
