ids,technical_name
['8128'],pragtech_woo_commerce
['8168'],website_floating_whatsapp_icon
"['1932', '1926', '3046', '1920']",customer_fleet
"['5274', '1929']",credit_limit
['1927'],informational_fields
"['1918', '3832', '3833']",sales_order_quote
"['4240', '5400']",hr_leave
['2624'],bac_employee_supplier_payment_prn
"['4255', '4420', '4422', '4519', '5886', '7746', '9192', '7824', '9190']",hr_payslip_salary_lien
"['8324', '8175', '7876', '7875', '7779', '7778', '8237', '7877', '8720', '8566']",ecom_invoice
"['7108', '3568', '10119']",purchase_discount
['7160'],time_sheet_attendace
['8185'],hr_payroll_informaion_and_last_salaries
['8196'],requirements_fields
['7330'],fields_and_reports
['7764'],hr_payroll_report_modifications
['6268'],helpdesk_dashboard_admin
"['6468', '9261']",ks_dashboard_ninja
['8310'],"to_attendance_device, to_base, to_safe_confirm_button"
['7977'],hour_type_timesheet
['8192'],report_general_ledger_total
"['8083', '7107', '8977']",recurring_bill
['8059'],"aspl_pos_order_reservation_ee,wk_pos_sales_commission"
['5120'],contacts_duplicated_partner
['4777'],pos_ticket_edit
['7774'],hr_currency_struct
['8534'],purchase_report_fields
"['7753', '9595']",hr_payroll_report
['7353'],stock_picking_validate_transfer
"['9022', '2070']",machote_planillas
['8248'],account_export_client
['8075'],repair_guarantee_seal
['8370'],product_variant_sale_price
['8822'],mandatory_cost_field
['8173'],requirements_fields_crm
"['9137', '4933', '3561', '3574']",product_sale_margin
['5386'],biogym_new_fields
['7978'],mass_validation_payment
['7442'],route
['8200'],"aspl_pos_order_reservation_ee,custom_pos"
['9103'],"maintenance_automatic, maintenance_start_stop, maintenance_start_stop_models"
"['6281', '9751']",agent_commissions
"['9216', '9585', '9881', '9446', '9918', '9880', '9870', '9868', '9869']",cr_electronic_invoice_pos
['9138'],ks_pos_low_stock_alert
['9386'],website_sale_product_description
['9197'],hr_payslip_run_masive_pay_sv
['8994'],hr_payroll_tax_withholding_sv
"['8729', '9373']",hr_payroll_report_sv
"['9317', '8856']",hr_payroll_information_and_last_salaries_sv
['9215'],"dynamic_print_cheques, l10n_tn_base"
['9442'],dynamic_print_cheques
['8850'],hr_employee_automatic_vacations_sv
['4438'],payment_greenpay_ola_recurring
['9769'],"hr_payroll_bonus_report, hr_payslip_salary_lien"
['8778'],"crm_l,contactos_conexion"
"['9934', '9976']",compute_number_days_in_leaves_sv
['9815'],payment_fields
['8350'],"aspl_pos_order_reservation_ee,pos_ticket_edit"
['7355'],custom_pos
['9105'],"O_AT_Base,o_chele_reporte,O_PDF_AccountPayment,O_Retencion,web_domain_field"
['5123'],group_financial_statements
['9502'],"complete_costumer_route_report, recibo_factura_add_fields,report_granel"
['9774'],vehicle_workshop
['9504'],purchase_discounts
['8820'],ts_import_serial_no_and_transfers
"['7272', '10057']",ob_pos_payment_ref
"['9671', '9486', '9861']",account_invoice_picking
['9352'],hr_deduction_sv
['3272'],combo_products
['7338'],location_control
['7438'],res_partner_commissions
['6776'],hr_payroll_report_custom
['4430'],"payment_greenpay_ola, payment_greenpay_ola_recurring"
['7173'],"employee_check_list, hr_payroll_report"
"['964', '1075']",product_hours_pos
"['7424', '7661']","modifications_in_expenses, invoice_to_expenses"
['1922'],license_plate
['7089'],"bac_employee_supplier_payment_prn, bn_employee_supplier_payment"
['7091'],pago_por_correos
['3994'],account_record_modifications
['8598'],"web_domain_field,web_lead_funnel_chart,company_groups,informational_fields,requirements_for_new_client,sale_rating,client_hiden,customer_classification,crm_delete_sms,helpdesk_technology_contract,contact_change_data_in_chatter,lost_sale,crm_lead_alert_sale,sap_connector,alternative_products,credit_limit,add_parent_nit_and_set_domain_state,set_order_on_search_product"
['1912'],sap_connector
['4155'],invoice_format_pdf
['3058'],vehicle_delivery
"['5668', '6269']",ks_sticky_pivot_view
['7781'],hr_improvement_vacations
['5176'],bank_statement_ref
['4380'],graphhql_base
['5794'],crm_lead_company_currency_dollar
['8216'],"multi_branch_pos, multi_branch_base"
['4149'],account_move_under_cost
['3575'],invoice_report_profitability_percentages
['3839'],report_sac
['5918'],stock_fields
['2634'],account_report_percentage
['9543'],commission_liter
['6757'],discounts_by_amount
['8125'],"vehicle_workshop,web_widget_image_paint"
['6656'],print_invoice_pos
['8913'],opportunity_to_invoiced_stage
['9078'],stock_import_cost & report_xlsx
['8132'],discounts_and_promotions
['6124'],kpis_module
['8311'],discounts_and_promotions_pos
['9410'],ctln_employee_supplier_payment_sv
['8675'],fetch_invoice_from_mail
['6754'],rental_fields
['9339'],discounts_and_promotions_website
['8065'],"pw_pos_salesperson, wk_pos_sales_commission"
['9503'],overdue_receivables_report
['8183'],exchange_rate_conversion
['8855'],cr_electronic_invoice
